task_id,model,dimension,human_score,judge_score,tests_passed,tests_total
08_group_anagrams,sonnet,instruction_adherence,,5,6,6
09_binary_search,opus,correctness,,5,7,7
09_binary_search,opus,completeness,,5,7,7
09_binary_search,opus,code_quality,,5,7,7
09_binary_search,opus,instruction_adherence,,5,7,7
09_binary_search,planted,correctness,,2,6,7
09_binary_search,planted,completeness,,2,6,7
09_binary_search,planted,code_quality,,4,6,7
09_binary_search,planted,instruction_adherence,,3,6,7
09_binary_search,sonnet,correctness,,5,7,7
09_binary_search,sonnet,completeness,,5,7,7
09_binary_search,sonnet,code_quality,,5,7,7
09_binary_search,sonnet,instruction_adherence,,5,7,7
10_longest_common_prefix,opus,correctness,,5,7,7
10_longest_common_prefix,opus,completeness,,5,7,7
10_longest_common_prefix,opus,code_quality,,5,7,7
10_longest_common_prefix,opus,instruction_adherence,,5,7,7
10_longest_common_prefix,sonnet,correctness,,5,7,7
10_longest_common_prefix,sonnet,completeness,,5,7,7
10_longest_common_prefix,sonnet,code_quality,,5,7,7
10_longest_common_prefix,sonnet,instruction_adherence,,5,7,7
11_move_zeroes,opus,correctness,,5,6,6
11_move_zeroes,opus,completeness,,5,6,6
11_move_zeroes,opus,code_quality,,5,6,6
11_move_zeroes,opus,instruction_adherence,,5,6,6
11_move_zeroes,sonnet,correctness,,5,6,6
11_move_zeroes,sonnet,completeness,,5,6,6
11_move_zeroes,sonnet,code_quality,,5,6,6
11_move_zeroes,sonnet,instruction_adherence,,5,6,6
12_spiral_order,opus,correctness,,5,6,6
12_spiral_order,opus,completeness,,5,6,6
12_spiral_order,opus,code_quality,,5,6,6
12_spiral_order,opus,instruction_adherence,,5,6,6
12_spiral_order,planted,correctness,,5,5,6
12_spiral_order,planted,completeness,,5,5,6
12_spiral_order,planted,code_quality,,4,5,6
12_spiral_order,planted,instruction_adherence,,5,5,6
12_spiral_order,sonnet,correctness,,5,6,6
12_spiral_order,sonnet,completeness,,5,6,6
12_spiral_order,sonnet,code_quality,,5,6,6
12_spiral_order,sonnet,instruction_adherence,,5,6,6
13_climb_stairs,opus,correctness,,5,6,6
13_climb_stairs,opus,completeness,,5,6,6
13_climb_stairs,opus,code_quality,,5,6,6
13_climb_stairs,opus,instruction_adherence,,5,6,6
13_climb_stairs,sonnet,correctness,,5,6,6
13_climb_stairs,sonnet,completeness,,5,6,6
13_climb_stairs,sonnet,code_quality,,5,6,6
13_climb_stairs,sonnet,instruction_adherence,,5,6,6
14_length_of_longest_substring,opus,correctness,,5,7,7
14_length_of_longest_substring,opus,completeness,,5,7,7
14_length_of_longest_substring,opus,code_quality,,5,7,7
14_length_of_longest_substring,opus,instruction_adherence,,5,7,7
14_length_of_longest_substring,planted,correctness,,5,6,7
14_length_of_longest_substring,planted,completeness,,5,6,7
14_length_of_longest_substring,planted,code_quality,,5,6,7
14_length_of_longest_substring,planted,instruction_adherence,,5,6,7
14_length_of_longest_substring,sonnet,correctness,,5,7,7
14_length_of_longest_substring,sonnet,completeness,,5,7,7
14_length_of_longest_substring,sonnet,code_quality,,5,7,7
14_length_of_longest_substring,sonnet,instruction_adherence,,5,7,7
15_product_except_self,opus,correctness,,5,6,6
15_product_except_self,opus,completeness,,5,6,6
15_product_except_self,opus,code_quality,,5,6,6
15_product_except_self,opus,instruction_adherence,,5,6,6
15_product_except_self,sonnet,correctness,,5,6,6
15_product_except_self,sonnet,completeness,,5,6,6
15_product_except_self,sonnet,code_quality,,5,6,6
15_product_except_self,sonnet,instruction_adherence,,5,6,6
16_multiply_strings,opus,correctness,,5,7,7
16_multiply_strings,opus,completeness,,5,7,7
16_multiply_strings,opus,code_quality,,5,7,7
16_multiply_strings,opus,instruction_adherence,,5,7,7
16_multiply_strings,planted,correctness,,5,5,7
16_multiply_strings,planted,completeness,,5,5,7
16_multiply_strings,planted,code_quality,,5,5,7
16_multiply_strings,planted,instruction_adherence,,5,5,7
16_multiply_strings,sonnet,correctness,,5,7,7
16_multiply_strings,sonnet,completeness,,5,7,7
16_multiply_strings,sonnet,code_quality,,5,7,7
16_multiply_strings,sonnet,instruction_adherence,,5,7,7
17_simplify_path,opus,correctness,,5,7,7
17_simplify_path,opus,completeness,,5,7,7
17_simplify_path,opus,code_quality,,5,7,7
17_simplify_path,opus,instruction_adherence,,5,7,7
17_simplify_path,planted,correctness,,2,5,7
17_simplify_path,planted,completeness,,3,5,7
17_simplify_path,planted,code_quality,,4,5,7
17_simplify_path,planted,instruction_adherence,,3,5,7
17_simplify_path,sonnet,correctness,,5,7,7
17_simplify_path,sonnet,completeness,,5,7,7
17_simplify_path,sonnet,code_quality,,5,7,7
17_simplify_path,sonnet,instruction_adherence,,5,7,7
18_excel_column_title,opus,correctness,,5,8,8
18_excel_column_title,opus,completeness,,5,8,8
18_excel_column_title,opus,code_quality,,5,8,8
18_excel_column_title,opus,instruction_adherence,,5,8,8
18_excel_column_title,sonnet,correctness,,5,8,8
18_excel_column_title,sonnet,completeness,,5,8,8
18_excel_column_title,sonnet,code_quality,,5,8,8
18_excel_column_title,sonnet,instruction_adherence,,5,8,8
19_excel_column_number,opus,correctness,,5,8,8
19_excel_column_number,opus,completeness,,5,8,8
19_excel_column_number,opus,code_quality,,5,8,8
19_excel_column_number,opus,instruction_adherence,,5,8,8
19_excel_column_number,sonnet,correctness,,5,8,8
19_excel_column_number,sonnet,completeness,,5,8,8
19_excel_column_number,sonnet,code_quality,,5,8,8
19_excel_column_number,sonnet,instruction_adherence,,5,8,8
20_compare_version,opus,correctness,,5,7,7
20_compare_version,opus,completeness,,5,7,7
20_compare_version,opus,code_quality,,5,7,7
20_compare_version,opus,instruction_adherence,,5,7,7
20_compare_version,planted,correctness,,2,5,7
20_compare_version,planted,completeness,,2,5,7
20_compare_version,planted,code_quality,,4,5,7
20_compare_version,planted,instruction_adherence,,2,5,7
20_compare_version,sonnet,correctness,,5,7,7
20_compare_version,sonnet,completeness,,5,7,7
20_compare_version,sonnet,code_quality,,5,7,7
20_compare_version,sonnet,instruction_adherence,,5,7,7
21_decode_string,opus,correctness,,5,6,6
21_decode_string,opus,completeness,,5,6,6
21_decode_string,opus,code_quality,,5,6,6
21_decode_string,opus,instruction_adherence,,5,6,6
21_decode_string,planted,correctness,,2,5,6
21_decode_string,planted,completeness,,2,5,6
21_decode_string,planted,code_quality,,3,5,6
21_decode_string,planted,instruction_adherence,,2,5,6
21_decode_string,sonnet,correctness,,5,6,6
21_decode_string,sonnet,completeness,,5,6,6
21_decode_string,sonnet,code_quality,,5,6,6
21_decode_string,sonnet,instruction_adherence,,5,6,6
22_valid_ipv4,opus,correctness,,5,9,9
22_valid_ipv4,opus,completeness,,5,9,9
22_valid_ipv4,opus,code_quality,,5,9,9
22_valid_ipv4,opus,instruction_adherence,,5,9,9
22_valid_ipv4,planted,correctness,,2,8,9
22_valid_ipv4,planted,completeness,,3,8,9
22_valid_ipv4,planted,code_quality,,4,8,9
22_valid_ipv4,planted,instruction_adherence,,3,8,9
22_valid_ipv4,sonnet,correctness,,5,9,9
22_valid_ipv4,sonnet,completeness,,5,9,9
22_valid_ipv4,sonnet,code_quality,,5,9,9
22_valid_ipv4,sonnet,instruction_adherence,,5,9,9
23_my_atoi,opus,correctness,,5,9,9
23_my_atoi,opus,completeness,,5,9,9
23_my_atoi,opus,code_quality,,5,9,9
23_my_atoi,opus,instruction_adherence,,5,9,9
23_my_atoi,planted,correctness,,2,8,9
23_my_atoi,planted,completeness,,3,8,9
23_my_atoi,planted,code_quality,,4,8,9
23_my_atoi,planted,instruction_adherence,,3,8,9
23_my_atoi,sonnet,correctness,,5,9,9
23_my_atoi,sonnet,completeness,,5,9,9
23_my_atoi,sonnet,code_quality,,5,9,9
23_my_atoi,sonnet,instruction_adherence,,5,9,9
